Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 03
0;1;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 04
0;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 01
1;0;2023-01-01 00:19:00;2023-01-01 00:22:00;19.0;22.0;Machine 06
1;1;2023-01-01 00:14:00;2023-01-01 00:16:00;14.0;16.0;Machine 05
1;2;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 00
2;0;2023-01-01 00:27:00;2023-01-01 00:29:00;27.0;29.0;Machine 05
2;1;2023-01-01 00:24:00;2023-01-01 00:27:00;24.0;27.0;Machine 00
2;2;2023-01-01 00:24:00;2023-01-01 00:27:00;24.0;27.0;Machine 02
3;0;2023-01-01 00:07:00;2023-01-01 00:12:00;7.0;12.0;Machine 05
3;1;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 04
3;2;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0;4.0;Machine 02
4;0;2023-01-01 00:03:00;2023-01-01 00:07:00;2.9999999999999996;7.0;Machine 06
4;1;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 00
4;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 05
5;0;2023-01-01 00:23:00;2023-01-01 00:25:00;23.000000000000085;25.000000000000085;Machine 04
5;1;2023-01-01 00:20:00;2023-01-01 00:23:00;20.000000000000085;23.000000000000085;Machine 01
5;2;2023-01-01 00:11:00;2023-01-01 00:14:00;11.0;14.0;Machine 01
6;0;2023-01-01 00:14:00;2023-01-01 00:16:00;14.0;16.0;Machine 04
6;1;2023-01-01 00:10:00;2023-01-01 00:14:00;10.0;14.0;Machine 06
6;2;2023-01-01 00:11:00;2023-01-01 00:14:00;11.0;14.0;Machine 00
7;0;2023-01-01 00:18:00;2023-01-01 00:21:00;18.0;21.0;Machine 03
7;1;2023-01-01 00:16:00;2023-01-01 00:18:00;16.000000000000004;18.000000000000004;Machine 02
7;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 02
